x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-4.996620E+00,+5.528E-03,+3.265829E+00;;-4.99662;0.00553;3.26583;;-3.26030;;0;;0;0;;0;;1;1;0.1
-4.991620E+00,+41.709E-03,+5.528E-03;;-4.99162;0.04171;0.00553;;0.03618;;0;;0;0;;0;;2;1;0.1
-4.986620E+00,+9.548E-03,+45.729E-03;;-4.98662;0.00955;0.04573;;-0.03618;;0;;0;0;;0;;3;1;0.1
-4.981620E+00,+45.729E-03,+5.528E-03;;-4.98162;0.04573;0.00553;;0.04020;;0;;0;0;;0;;4;1;0.1
-4.976620E+00,+41.709E-03,+45.729E-03;;-4.97662;0.04171;0.04573;;-0.00402;;0;;0;0;;0;;5;1;0.1
-4.971620E+00,+9.548E-03,+5.528E-03;;-4.97162;0.00955;0.00553;;0.00402;;0;;0;0;;0;;6;0;0
-4.966620E+00,+5.528E-03,+5.528E-03;;-4.96662;0.00553;0.00553;;0.00000;;0;;0;0;;0;;7;0;0
-4.961620E+00,+9.548E-03,+41.709E-03;;-4.96162;0.00955;0.04171;;-0.03216;;0;;0;0;;0;;8;0;0
-4.956620E+00,+45.729E-03,+9.548E-03;;-4.95662;0.04573;0.00955;;0.03618;;0;;0;0;;0;;9;0;0
-4.951620E+00,+45.729E-03,+37.689E-03;;-4.95162;0.04573;0.03769;;0.00804;;0;;0;0;;0;;10;0;0
-4.946620E+00,-26.633E-03,+5.528E-03;;-4.94662;-0.02663;0.00553;;-0.03216;;0;;0;0;;0;;11;0;0
-4.941620E+00,-30.653E-03,-34.673E-03;;-4.94162;-0.03065;-0.03467;;0.00402;;0;;0;0;;0;;12;0;0
-4.936620E+00,+41.709E-03,+9.548E-03;;-4.93662;0.04171;0.00955;;0.03216;;0;;0;0;;0;;13;0;0
-4.931620E+00,-30.653E-03,+45.729E-03;;-4.93162;-0.03065;0.04573;;-0.07638;;0;;0;0;;0;;14;0;0
-4.926620E+00,+5.528E-03,-30.653E-03;;-4.92662;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;15;0;0
-4.921620E+00,+5.528E-03,-30.653E-03;;-4.92162;0.00553;-0.03065;;0.03618;;0;;0;0;;0;;16;0;0
-4.916620E+00,+41.709E-03,+5.528E-03;;-4.91662;0.04171;0.00553;;0.03618;;0;;0;0;;0;;17;0;0
-4.911620E+00,+45.729E-03,-26.633E-03;;-4.91162;0.04573;-0.02663;;0.07236;;0;;0;0;;0;;18;0;0
-4.906620E+00,+5.528E-03,+41.709E-03;;-4.90662;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;19;0;0
-4.901620E+00,+5.528E-03,+41.709E-03;;-4.90162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;20;0;0
-4.896620E+00,+41.709E-03,-26.633E-03;;-4.89662;0.04171;-0.02663;;0.06834;;0;;0;0;;0;;21;0;0
-4.891620E+00,+5.528E-03,+41.709E-03;;-4.89162;0.00553;0.04171;;-0.03618;;0;;0;0;;0;;22;0;0
-4.886620E+00,+5.528E-03,+9.548E-03;;-4.88662;0.00553;0.00955;;-0.00402;;0;;0;0;;0;;23;0;0
-4.881620E+00,+41.709E-03,+1.508E-03;;-4.88162;0.04171;0.00151;;0.04020;;0;;0;0;;0;;24;0;0
-4.876620E+00,-34.673E-03,+41.709E-03;;-4.87662;-0.03467;0.04171;;-0.07638;;0;;0;0;;0;;25;0;0
