x-axis,1,3;;x-axis;1.00000;3.00000
second,Volt,Volt;;second;Volt;Volt
-280.0000E-03,+3.3271358E+00,+51.2565E-03;;-0.28000;3.32714;0.05126
-279.9000E-03,+3.3673368E+00,+11.0555E-03;;-0.27990;3.36734;0.01106
-279.8000E-03,+3.3271358E+00,+51.2565E-03;;-0.27980;3.32714;0.05126
-279.7000E-03,+3.2869348E+00,+91.4575E-03;;-0.27970;3.28693;0.09146
-279.6000E-03,+3.3271358E+00,+51.2565E-03;;-0.27960;3.32714;0.05126
-279.5000E-03,+3.3271358E+00,+51.2565E-03;;-0.27950;3.32714;0.05126
-279.4000E-03,+3.3271358E+00,+51.2565E-03;;-0.27940;3.32714;0.05126
-279.3000E-03,+3.3271358E+00,+51.2565E-03;;-0.27930;3.32714;0.05126
-279.2000E-03,+3.3271358E+00,+11.0555E-03;;-0.27920;3.32714;0.01106
-279.1000E-03,+3.3271358E+00,-69.3465E-03;;-0.27910;3.32714;-0.06935
-279.0000E-03,+3.3271358E+00,-29.1455E-03;;-0.27900;3.32714;-0.02915
-278.9000E-03,+3.2869348E+00,+11.0555E-03;;-0.27890;3.28693;0.01106
-278.8000E-03,+3.2869348E+00,+11.0555E-03;;-0.27880;3.28693;0.01106
-278.7000E-03,+3.3271358E+00,+11.0555E-03;;-0.27870;3.32714;0.01106
-278.6000E-03,+3.3271358E+00,+11.0555E-03;;-0.27860;3.32714;0.01106
-278.5000E-03,+3.2869348E+00,+51.2565E-03;;-0.27850;3.28693;0.05126
-278.4000E-03,+3.2467338E+00,+51.2565E-03;;-0.27840;3.24673;0.05126
-278.3000E-03,+3.2869348E+00,+51.2565E-03;;-0.27830;3.28693;0.05126
-278.2000E-03,+3.3271358E+00,-29.1455E-03;;-0.27820;3.32714;-0.02915
-278.1000E-03,+3.3271358E+00,-69.3465E-03;;-0.27810;3.32714;-0.06935
-278.0000E-03,+3.3271358E+00,+11.0555E-03;;-0.27800;3.32714;0.01106
-277.9000E-03,+3.2869348E+00,+51.2565E-03;;-0.27790;3.28693;0.05126
-277.8000E-03,+3.2467338E+00,+51.2565E-03;;-0.27780;3.24673;0.05126
-277.7000E-03,+3.2869348E+00,+11.0555E-03;;-0.27770;3.28693;0.01106
-277.6000E-03,+3.3271358E+00,+11.0555E-03;;-0.27760;3.32714;0.01106
-277.5000E-03,+3.3271358E+00,+51.2565E-03;;-0.27750;3.32714;0.05126
-277.4000E-03,+3.3271358E+00,+51.2565E-03;;-0.27740;3.32714;0.05126
-277.3000E-03,+3.2869348E+00,+1.6994977E+00;;-0.27730;3.28693;1.69950
-277.2000E-03,+3.2467338E+00,+3.3477389E+00;;-0.27720;3.24673;3.34774
-277.1000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27710;3.28693;3.26734
-277.0000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27700;3.32714;3.26734
-276.9000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27690;3.32714;3.26734
-276.8000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27680;3.28693;3.26734
-276.7000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27670;3.28693;3.26734
-276.6000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27660;3.32714;3.26734
-276.5000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27650;3.28693;3.30754
-276.4000E-03,+3.2467338E+00,+3.2673369E+00;;-0.27640;3.24673;3.26734
-276.3000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27630;3.28693;3.26734
-276.2000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27620;3.32714;3.30754
-276.1000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27610;3.28693;3.30754
-276.0000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27600;3.28693;3.26734
-275.9000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27590;3.32714;3.26734
-275.8000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27580;3.32714;3.30754
-275.7000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27570;3.32714;3.30754
-275.6000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27560;3.32714;3.26734
-275.5000E-03,+3.3271358E+00,+3.2673369E+00;;-0.27550;3.32714;3.26734
-275.4000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27540;3.32714;3.30754
-275.3000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27530;3.28693;3.30754
-275.2000E-03,+3.2869348E+00,+3.2271359E+00;;-0.27520;3.28693;3.22714
-275.1000E-03,+3.3271358E+00,+3.2271359E+00;;-0.27510;3.32714;3.22714
-275.0000E-03,+3.3271358E+00,+3.3075379E+00;;-0.27500;3.32714;3.30754
-274.9000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27490;3.28693;3.30754
-274.8000E-03,+3.2869348E+00,+3.2673369E+00;;-0.27480;3.28693;3.26734
-274.7000E-03,+3.2869348E+00,+3.2271359E+00;;-0.27470;3.28693;3.22714
-274.6000E-03,+3.2467338E+00,+3.2673369E+00;;-0.27460;3.24673;3.26734
-274.5000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27450;3.28693;3.30754
-274.4000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27440;3.28693;3.30754
-274.3000E-03,+3.2869348E+00,+3.3075379E+00;;-0.27430;3.28693;3.30754
-274.2000E-03,+3.2869348E+00,+3.3477389E+00;;-0.27420;3.28693;3.34774
-274.1000E-03,+3.2467338E+00,+3.3075379E+00;;-0.27410;3.24673;3.30754
