x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;;;;;;
second,Volt,Volt;;second;Volt;Volt;;;;Active;;Packet Start;Packet End;;Active ID;;Packet ID;Packet Length;Packet Length [ms]
-1.9922000E+00,+50.7539E-03,+3.3070353E+00;;-1.99220;0.05075;3.30704;;-3.25628;;0;;0;0;;0;;1;2;0.2
-1.9921000E+00,+10.5529E-03,+3.2668343E+00;;-1.99210;0.01055;3.26683;;-3.25628;;0;;0;0;;0;;2;2;0.2
-1.9920000E+00,+5.5278E-03,+3.2969850E+00;;-1.99200;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;3;2;0.2
-1.9919000E+00,+5.5278E-03,+3.3020101E+00;;-1.99190;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;4;2;0.2
-1.9918000E+00,+40.7036E-03,+3.3020101E+00;;-1.99180;0.04070;3.30201;;-3.26131;;0;;0;0;;0;;5;3;0.3
-1.9917000E+00,+45.7288E-03,+3.3020101E+00;;-1.99170;0.04573;3.30201;;-3.25628;;0;;0;0;;0;;6;8;0.8
-1.9916000E+00,+10.5529E-03,+3.2668343E+00;;-1.99160;0.01055;3.26683;;-3.25628;;0;;0;0;;0;;7;2;0.2
-1.9915000E+00,+5.5278E-03,+3.2266333E+00;;-1.99150;0.00553;3.22663;;-3.22111;;0;;0;0;;0;;8;2;0.2
-1.9914000E+00,+5.5278E-03,+3.3271358E+00;;-1.99140;0.00553;3.32714;;-3.32161;;0;;0;0;;0;;9;1;0.1
-1.9913000E+00,+40.7036E-03,+3.2718594E+00;;-1.99130;0.04070;3.27186;;-3.23116;;0;;0;0;;0;;10;5;0.5
-1.9912000E+00,+45.7288E-03,+3.2969850E+00;;-1.99120;0.04573;3.29699;;-3.25126;;0;;0;0;;0;;11;5;0.5
-1.9911000E+00,+10.5529E-03,+3.3020101E+00;;-1.99110;0.01055;3.30201;;-3.29146;;0;;0;0;;0;;12;1;0.1
-1.9910000E+00,+5.5278E-03,+3.3020101E+00;;-1.99100;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;13;3;0.3
-1.9909000E+00,+5.5278E-03,+3.3020101E+00;;-1.99090;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;14;2;0.2
-1.9908000E+00,+5.5278E-03,+3.3020101E+00;;-1.99080;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;15;1;0.1
-1.9907000E+00,+5.5278E-03,+3.3020101E+00;;-1.99070;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;16;2;0.2
-1.9906000E+00,+5.5278E-03,+3.2316584E+00;;-1.99060;0.00553;3.23166;;-3.22613;;0;;0;0;;0;;17;2;0.2
-1.9905000E+00,+40.7036E-03,+3.2919599E+00;;-1.99050;0.04070;3.29196;;-3.25126;;0;;0;0;;0;;18;2;0.2
-1.9904000E+00,+45.7288E-03,+3.3020101E+00;;-1.99040;0.04573;3.30201;;-3.25628;;0;;0;0;;0;;19;2;0.2
-1.9903000E+00,+10.5529E-03,+3.2668343E+00;;-1.99030;0.01055;3.26683;;-3.25628;;0;;0;0;;0;;20;4;0.4
-1.9902000E+00,+40.7036E-03,+3.2618091E+00;;-1.99020;0.04070;3.26181;;-3.22111;;0;;0;0;;0;;21;3;0.3
-1.9901000E+00,+10.5529E-03,+3.2618091E+00;;-1.99010;0.01055;3.26181;;-3.25126;;0;;0;0;;0;;22;4;0.4
-1.9900000E+00,+40.7036E-03,+3.2618091E+00;;-1.99000;0.04070;3.26181;;-3.22111;;0;;0;0;;0;;23;2;0.2
-1.9899000E+00,+10.5529E-03,+3.2618091E+00;;-1.98990;0.01055;3.26181;;-3.25126;;0;;0;0;;0;;24;2;0.2
-1.9898000E+00,+40.7036E-03,+3.2969850E+00;;-1.98980;0.04070;3.29699;;-3.25628;;0;;0;0;;0;;25;1;0.1
-1.9897000E+00,+45.7288E-03,+3.3020101E+00;;-1.98970;0.04573;3.30201;;-3.25628;;0;;0;0;;0;;26;7;0.7
-1.9896000E+00,+10.5529E-03,+3.3020101E+00;;-1.98960;0.01055;3.30201;;-3.29146;;0;;0;0;;0;;27;2;0.2
-1.9895000E+00,+5.5278E-03,+3.2668343E+00;;-1.98950;0.00553;3.26683;;-3.26131;;0;;0;0;;0;;28;2;0.2
-1.9894000E+00,+5.5278E-03,+3.2969850E+00;;-1.98940;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;29;2;0.2
-1.9893000E+00,+5.5278E-03,+3.3020101E+00;;-1.98930;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;30;1;0.1
-1.9892000E+00,+40.7036E-03,+3.3020101E+00;;-1.98920;0.04070;3.30201;;-3.26131;;0;;0;0;;0;;31;3;0.3
-1.9891000E+00,+10.5529E-03,+3.2668343E+00;;-1.98910;0.01055;3.26683;;-3.25628;;0;;0;0;;0;;32;1;0.1
-1.9890000E+00,+5.5278E-03,+3.2618091E+00;;-1.98900;0.00553;3.26181;;-3.25628;;0;;0;0;;0;;33;1;0.1
-1.9889000E+00,+5.5278E-03,+3.2969850E+00;;-1.98890;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;34;4;0.4
-1.9888000E+00,-29.6481E-03,+3.3020101E+00;;-1.98880;-0.02965;3.30201;;-3.33166;;0;;0;0;;0;;35;5;0.5
-1.9887000E+00,+502.6E-06,+3.3020101E+00;;-1.98870;0.00050;3.30201;;-3.30151;;0;;0;0;;0;;36;3;0.3
-1.9886000E+00,+5.5278E-03,+3.2668343E+00;;-1.98860;0.00553;3.26683;;-3.26131;;0;;0;0;;0;;37;2;0.2
-1.9885000E+00,+40.7036E-03,+3.2618091E+00;;-1.98850;0.04070;3.26181;;-3.22111;;0;;0;0;;0;;38;1;0.1
-1.9884000E+00,+10.5529E-03,+3.2618091E+00;;-1.98840;0.01055;3.26181;;-3.25126;;0;;0;0;;0;;39;2;0.2
-1.9883000E+00,+5.5278E-03,+3.2618091E+00;;-1.98830;0.00553;3.26181;;-3.25628;;0;;0;0;;0;;40;2;0.2
-1.9882000E+00,+40.7036E-03,+3.2618091E+00;;-1.98820;0.04070;3.26181;;-3.22111;;0;;0;0;;0;;41;5;0.5
-1.9881000E+00,+10.5529E-03,+3.2618091E+00;;-1.98810;0.01055;3.26181;;-3.25126;;0;;0;0;;0;;42;3;0.3
-1.9880000E+00,+5.5278E-03,+3.2618091E+00;;-1.98800;0.00553;3.26181;;-3.25628;;0;;0;0;;0;;43;4;0.4
-1.9879000E+00,+40.7036E-03,+3.2618091E+00;;-1.98790;0.04070;3.26181;;-3.22111;;0;;0;0;;0;;44;6;0.6
-1.9878000E+00,+10.5529E-03,+3.2618091E+00;;-1.98780;0.01055;3.26181;;-3.25126;;0;;0;0;;0;;45;1;0.1
-1.9877000E+00,+40.7036E-03,+3.2969850E+00;;-1.98770;0.04070;3.29699;;-3.25628;;0;;0;0;;0;;46;2;0.2
-1.9876000E+00,+10.5529E-03,+3.3020101E+00;;-1.98760;0.01055;3.30201;;-3.29146;;0;;0;0;;0;;47;6;0.6
-1.9875000E+00,+5.5278E-03,+3.3020101E+00;;-1.98750;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;48;2;0.2
-1.9874000E+00,+5.5278E-03,+3.3020101E+00;;-1.98740;0.00553;3.30201;;-3.29648;;0;;0;0;;0;;49;2;0.2
-1.9873000E+00,+5.5278E-03,+3.2668343E+00;;-1.98730;0.00553;3.26683;;-3.26131;;0;;0;0;;0;;50;1;0.1
-1.9872000E+00,+5.5278E-03,+3.2618091E+00;;-1.98720;0.00553;3.26181;;-3.25628;;0;;0;0;;0;;51;1;0.1
-1.9871000E+00,+5.5278E-03,+3.2969850E+00;;-1.98710;0.00553;3.29699;;-3.29146;;0;;0;0;;0;;52;1;0.1
