x-axis,1,3;;x-axis;1.00000;3.00000;;;;;;;;2;
second,Volt,Volt;;second;Volt;Volt;;;;;;;;;
-506.26000E-03,+3.26180914E+00,+3.39246240E+00;;-0.50626;3.26181;3.39246;;-0.1307;;0;;0;;;
-506.22000E-03,+3.26180914E+00,+3.35226140E+00;;-0.50622;3.26181;3.35226;;-0.0905;;0;;0;;;
-506.18000E-03,+3.29195989E+00,+3.34221115E+00;;-0.50618;3.29196;3.34221;;-0.0503;;0;;0;;Timestep [s];-0.00004
-506.14000E-03,+3.30201014E+00,+3.31206039E+00;;-0.50614;3.30201;3.31206;;-0.0101;;0;;0;;;
-506.10000E-03,+3.30201014E+00,+3.33216089E+00;;-0.50610;3.30201;3.33216;;-0.0302;;0;;0;;;
-506.06000E-03,+3.30201014E+00,+3.28190964E+00;;-0.50606;3.30201;3.28191;;0.0201;;0;;0;;Anzahl Wechsel LO-HI (Anz sendungen);20
-506.02000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50602;3.30201;3.29196;;0.0101;;0;;0;;Totale Latenz (0.04 ms);626
-505.98000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50598;3.30201;3.30201;;0.0000;;0;;0;;;
-505.94000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50594;3.30201;3.30201;;0.0000;;0;;0;;Durchschnittliche Latenz [0.04 ms];31.3
-505.90000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50590;3.27186;3.30201;;-0.0302;;0;;0;;Durchschnittliche Latenz [1 ms];1.252
-505.86000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50586;3.29196;3.30201;;-0.0101;;0;;0;;;
-505.82000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50582;3.27186;3.30201;;-0.0302;;0;;0;;;
-505.78000E-03,+3.26180914E+00,+3.30201014E+00;;-0.50578;3.26181;3.30201;;-0.0402;;0;;0;;;
-505.74000E-03,+3.26180914E+00,+3.27185939E+00;;-0.50574;3.26181;3.27186;;-0.0101;;0;;0;;;
-505.70000E-03,+3.29195989E+00,+3.29195989E+00;;-0.50570;3.29196;3.29196;;0.0000;;0;;0;;;
-505.66000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50566;3.27186;3.30201;;-0.0302;;0;;0;;;
-505.62000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50562;3.29196;3.27186;;0.0201;;0;;0;;;
-505.58000E-03,+3.30201014E+00,+3.23165838E+00;;-0.50558;3.30201;3.23166;;0.0704;;0;;0;;;
-505.54000E-03,+3.30201014E+00,+3.28190964E+00;;-0.50554;3.30201;3.28191;;0.0201;;0;;0;;;
-505.50000E-03,+3.27185939E+00,+3.30201014E+00;;-0.50550;3.27186;3.30201;;-0.0302;;0;;0;;;
-505.46000E-03,+3.29195989E+00,+3.27185939E+00;;-0.50546;3.29196;3.27186;;0.0201;;0;;0;;;
-505.42000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50542;3.27186;3.29196;;-0.0201;;0;;0;;;
-505.38000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50538;3.29196;3.30201;;-0.0101;;0;;0;;;
-505.34000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50534;3.30201;3.30201;;0.0000;;0;;0;;;
-505.30000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50530;3.30201;3.30201;;0.0000;;0;;0;;;
-505.26000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50526;3.30201;3.30201;;0.0000;;0;;0;;;
-505.22000E-03,+3.33216089E+00,+3.27185939E+00;;-0.50522;3.33216;3.27186;;0.0603;;0;;0;;;
-505.18000E-03,+3.31206039E+00,+3.29195989E+00;;-0.50518;3.31206;3.29196;;0.0201;;0;;0;;;
-505.14000E-03,+3.27185939E+00,+3.24170863E+00;;-0.50514;3.27186;3.24171;;0.0302;;0;;0;;;
-505.10000E-03,+3.29195989E+00,+3.25175889E+00;;-0.50510;3.29196;3.25176;;0.0402;;0;;0;;;
-505.06000E-03,+3.27185939E+00,+3.29195989E+00;;-0.50506;3.27186;3.29196;;-0.0201;;0;;0;;;
-505.02000E-03,+3.29195989E+00,+3.30201014E+00;;-0.50502;3.29196;3.30201;;-0.0101;;0;;0;;;
-504.98000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50498;3.30201;3.30201;;0.0000;;0;;0;;;
-504.94000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50494;3.30201;3.27186;;0.0302;;0;;0;;;
-504.90000E-03,+3.27185939E+00,+3.23165838E+00;;-0.50490;3.27186;3.23166;;0.0402;;0;;0;;;
-504.86000E-03,+3.26180914E+00,+3.28190964E+00;;-0.50486;3.26181;3.28191;;-0.0201;;0;;0;;;
-504.82000E-03,+3.29195989E+00,+3.33216089E+00;;-0.50482;3.29196;3.33216;;-0.0402;;0;;0;;;
-504.78000E-03,+3.30201014E+00,+3.31206039E+00;;-0.50478;3.30201;3.31206;;-0.0101;;0;;0;;;
-504.74000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50474;3.30201;3.30201;;0.0000;;0;;0;;;
-504.70000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50470;3.30201;3.30201;;0.0000;;0;;0;;;
-504.66000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50466;3.30201;3.27186;;0.0302;;0;;0;;;
-504.62000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50462;3.30201;3.26181;;0.0402;;0;;0;;;
-504.58000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50458;3.30201;3.26181;;0.0402;;0;;0;;;
-504.54000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50454;3.30201;3.26181;;0.0402;;0;;0;;;
-504.50000E-03,+3.30201014E+00,+3.26180914E+00;;-0.50450;3.30201;3.26181;;0.0402;;0;;0;;;
-504.46000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50446;3.30201;3.29196;;0.0101;;0;;0;;;
-504.42000E-03,+3.30201014E+00,+3.27185939E+00;;-0.50442;3.30201;3.27186;;0.0302;;0;;0;;;
-504.38000E-03,+3.30201014E+00,+3.29195989E+00;;-0.50438;3.30201;3.29196;;0.0101;;0;;0;;;
-504.34000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50434;3.30201;3.30201;;0.0000;;0;;0;;;
-504.30000E-03,+3.30201014E+00,+3.30201014E+00;;-0.50430;3.30201;3.30201;;0.0000;;0;;0;;;
-504.26000E-03,+3.27185939E+00,+3.27185939E+00;;-0.50426;3.27186;3.27186;;0.0000;;0;;0;;;
-504.22000E-03,+3.23165838E+00,+3.26180914E+00;;-0.50422;3.23166;3.26181;;-0.0302;;0;;0;;;
-504.18000E-03,+3.25175889E+00,+3.29195989E+00;;-0.50418;3.25176;3.29196;;-0.0402;;0;;0;;;
