TSF_board_1,TSF_board_2
10300751,10300737
15300641,15300642
20300968,20300951
25300973,25300958
30300374,30300369
35300982,35300971
40300891,40300881
45301003,45300990
50300987,50300991
55300541,55300525
60301014,60301003
65301020,65301009
70300253,70300260
75300748,75300736
80300695,80300683
85301041,85301030
90300753,90300757
95300362,95300353
100301064,100301045
105300840,105300849
110300780,110300754
115301055,115301065
120300496,120300501
125300848,125300838
130301012,130301009
135300771,135300775
140300788,140300781
145300694,145300674
150301014,150301002
155301098,155301092
160300358,160300341
165301110,165301103
170300826,170300836
175301120,175301109
180301129,180301110
185300507,185300502
190301138,190301117
195301017,195301027
200301144,200301123
205301145,205301127
210300669,210300670
215301153,215301139
220301146,220301142
225300408,225300416
230301153,230301153
235300883,235300849
240301157,240301147
245301148,245301150
250300547,250300534
255300871,255300866
260301054,260301061
265300872,265300865
270300941,270300920
275300729,275300735
280301187,280301159
285301192,285301179
290300413,290300417
295301197,295301184
300300949,300300938
305300885,305300888
310301058,310301045
315300648,315300631
320301201,320301191
325301148,325301158
330301217,330301203
335301209,335301194
340300841,340300849
345301212,345301203
350301226,350301212
355300506,355300506
360301225,360301217
365301083,365301069
370301215,370301215
375301239,375301224
380300737,380300727
385301218,385301222
390301235,390301225
395300515,395300499
400301228,400301236
405300960,405300963
410301252,410301240
415301232,415301236
420300679,420300665
425301251,425301240
430301203,430301189
435301255,435301245
440301264,440301247
445300891,445300899
450301261,450301257
455301272,455301247
460300583,460300587
465301082,465301063
470301143,470301138
475301272,475301268
480300993,480300983
485300845,485300830
490301268,490301267
495301281,495301278
500300546,500300518
505301274,505301277
510301097,510301078
515301291,515301280
520301302,520301290
525300788,525300782
530301286,530301287
535301301,535301285
540300590,540300585
545301314,545301294
550301032,550301040
555301318,555301298
560301310,560301301
565300763,565300758
570301323,570301311
575301296,575301286
580301327,580301316
585301311,585301317
590301035,590301015
595301325,595301315
600301333,600301313
605300700,605300690
610301332,610301321
615301270,615301280
620301337,620301327
625301346,625301334
630300931,630300942
635301349,635301338
640301345,640301340
645300666,645300655
650301348,650301345
655301207,655301191
660301338,660301343
665301354,665301345
670300931,670300919
675301347,675301352
680301369,680301361
685300643,685300633
690301357,690301367
695301195,695301203
700301364,700301364
705301391,705301371
710300922,710300908
715301395,715301386
720301393,720301390
725300659,725300649
730301402,730301391
735301196,735301193
740301406,740301395
745301400,745301402
750300947,750300938
755301192,755301173
760301389,760301378
765300654,765300654
770301438,770301425
775301158,775301145
780301123,780301132
785301426,785301435
790300947,790300931
795301433,795301442
800301164,800301151
805300727,805300713
810301249,810301245
815301239,815301235
820301470,820301459
825301452,825301461
830300935,830300920
835301472,835301468
840301475,840301465
845300754,845300749
850301486,850301475
855301214,855301214
860301487,860301483
865301495,865301480
870300952,870300966
875301211,875301194
880301498,880301495
885300786,885300782
890301505,890301496
895301286,895301274
900301499,900301502
905301513,905301509
